Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,MVP,DPOY,ROY,MIP,CPOY,AS,DEF1,DEF2,NBA1,NBA2,NBA3,6MOY
Wilt Chamberlain,1,1045,47859.0,153.4,94.0,247.2,0.0,26.156,0.562,0.047,0.561,21.023,0.248,6.803,18.235,13.166,13.927,1.289,2.115,12.218,3.006,0.564,3.519,4,0,1,0,0,13,2,0,7,3,0,0
Jerry West,1,932,36571.0,124.5,37.8,162.6,1.6,22.918,0.549,0.025,0.462,21.398,0.213,5.321,13.262,8.199,22.741,1.67,1.027,13.377,1.976,0.191,2.159,0,0,0,0,0,14,4,1,10,2,0,0
Lenny Wilkens,1,1077,38064.0,60.3,35.5,95.6,3.4,16.775,0.51,0.028,0.491,22.267,0.12,5.88,14.954,9.103,24.601,1.677,1.418,13.835,2.301,0.329,2.628,0,0,0,0,0,9,0,0,0,0,0,0
Oscar Robertson,1,1040,43886.0,151.9,37.2,189.1,1.2,23.197,0.562,0.027,0.461,22.436,0.207,7.423,18.081,11.889,24.528,1.462,1.913,13.523,3.019,0.382,3.379,1,0,1,0,0,12,0,0,9,2,0,0
Walt Bellamy,1,1043,38940.0,103.2,26.7,130.3,1.1,19.878,0.553,0.014,0.533,23.644,0.16,7.044,18.218,14.025,10.494,1.453,1.582,14.12,2.075,0.388,2.454,0,0,1,0,0,4,0,0,0,0,0,0
Chet Walker,1,1032,33433.0,78.2,38.9,117.5,5.9,17.602,0.539,0.021,0.438,22.907,0.168,5.745,13.094,9.227,10.452,1.568,0.952,13.797,1.652,-0.128,1.536,0,0,0,0,0,7,0,0,0,0,0,0
Dave DeBusschere,1,875,31202.0,13.0,47.6,60.9,2.5,15.503,0.472,0.018,0.281,24.109,0.094,5.908,14.004,11.37,11.582,1.651,1.048,13.119,1.958,-0.04,1.928,0,0,0,0,0,8,6,0,0,1,0,0
John Havlicek,1,1270,46471.0,57.6,73.9,131.7,11.5,17.536,0.493,0.016,0.275,23.422,0.136,6.272,15.73,9.23,18.957,1.586,1.373,14.331,1.837,0.411,2.257,0,0,0,0,0,13,5,3,4,7,0,0
Zelmo Beaty,1,570,18348.0,36.9,21.3,58.1,0.3,17.043,0.529,0.031,0.428,23.802,0.152,6.84,17.223,13.001,9.353,1.572,1.48,14.407,1.137,0.247,1.402,0,0,0,0,0,2,0,0,0,0,0,0
Gus Johnson,1,581,20140.0,11.7,24.1,35.7,0.0,16.867,0.476,0.022,0.257,23.611,0.085,6.737,16.34,12.591,12.03,1.75,1.319,14.161,1.736,0.294,2.03,0,0,0,0,0,5,2,0,0,4,0,0
Jerry Lucas,1,829,32131.0,63.6,34.8,98.4,1.4,18.843,0.544,0.012,0.294,23.752,0.147,7.812,19.407,15.235,12.362,1.511,1.913,14.188,2.51,0.477,2.995,0,0,1,0,0,7,0,0,3,2,0,0
Nate Thurmond,1,964,35881.0,15.9,62.2,78.0,6.0,16.515,0.468,0.017,0.385,23.937,0.104,7.975,20.919,14.919,10.473,1.39,2.503,14.49,1.686,0.92,2.604,0,0,0,0,0,7,2,3,0,0,0,0
Willis Reed,1,650,23073.0,42.5,32.3,74.8,0.4,18.575,0.522,0.014,0.322,25.017,0.156,7.451,16.969,13.106,7.301,1.613,1.402,14.245,1.858,0.194,2.05,1,0,1,0,0,7,1,0,1,4,0,0
Billy Cunningham,1,654,22406.0,32.8,30.6,63.1,3.6,19.374,0.503,0.01,0.41,23.568,0.135,6.396,17.631,12.695,16.778,1.633,1.316,14.175,1.527,0.281,1.795,0,0,0,0,0,4,0,0,3,1,0,0
Gail Goodrich,1,1031,33527.0,55.6,20.8,76.6,6.0,16.701,0.515,0.019,0.334,23.36,0.109,4.109,8.922,5.392,20.608,1.798,0.668,14.037,1.278,-0.44,0.831,0,0,0,0,0,5,0,0,1,0,0,0
Rick Barry,1,794,28825.0,59.2,34.3,93.4,24.8,20.181,0.509,0.035,0.257,23.783,0.156,4.132,14.209,9.018,20.343,2.163,1.185,13.552,2.529,0.495,3.023,0,0,1,0,0,8,0,0,5,1,0,0
Dave Bing,1,901,32769.0,45.0,23.8,68.7,5.6,17.622,0.501,0.013,0.358,23.99,0.101,4.87,12.05,6.447,24.259,1.692,1.056,13.971,1.54,-0.037,1.509,0,0,1,0,0,7,0,0,2,1,0,0
Bill Bradley,1,742,22799.0,15.4,23.3,38.8,-0.5,12.191,0.486,0.017,0.184,22.287,0.082,5.009,12.167,6.314,15.226,1.523,1.208,14.88,0.445,0.144,0.594,0,0,0,0,0,1,0,0,0,0,0,0
Earl Monroe,1,926,29636.0,50.9,26.4,77.6,9.7,17.207,0.518,0.014,0.3,24.203,0.125,4.212,11.099,6.381,17.534,1.568,0.937,13.481,2.046,-0.413,1.629,0,0,1,0,0,4,0,0,1,0,0,0
