Player,HOF,G,MP,OWS,DWS,WS,VORP,PER,TS%,3PAr,FTr,USG%,WS/48,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,OBPM,DBPM,BPM,Final MVP
Gail Goodrich*,1,80,2622.0,4.9,2.0,6.9,0.2,17.152,0.509,0.023,0.371,23.384,0.125,5.707,11.569,5.422,19.775,1.871,1.311,13.227,1.886,-0.023,1.88,0
Rick Barry*,1,74,2723.0,5.0,3.3,8.3,3.2,20.309,0.487,0.034,0.262,22.169,0.146,5.059,12.179,8.841,19.632,2.326,1.548,13.211,3.581,0.389,3.977,1
Willis Reed*,1,78,2641.0,4.4,3.6,8.0,-0.2,17.786,0.505,0.018,0.231,22.39,0.144,6.298,15.132,11.818,8.247,1.716,1.612,12.997,2.33,0.435,2.773,2
Bill Bradley*,1,95,3161.0,2.1,2.7,4.8,-0.3,11.48,0.478,0.025,0.214,23.695,0.071,6.341,13.034,6.087,11.526,1.463,1.705,13.225,1.054,-0.07,0.992,0
Dave Bing*,1,31,964.0,0.5,0.9,1.4,0.3,15.624,0.472,0.029,0.291,21.025,0.067,3.438,7.737,5.865,21.821,1.176,0.641,12.307,0.968,-0.931,0.053,0
Walt Frazier*,1,93,3953.0,11.0,5.1,15.8,1.1,19.83,0.555,0.022,0.354,22.223,0.193,5.622,15.274,9.829,22.022,1.792,1.287,13.511,3.24,0.579,3.814,0
Earl Monroe*,1,82,2715.0,4.0,2.2,6.1,0.3,16.426,0.501,0.021,0.326,21.311,0.108,4.924,11.966,6.106,15.062,1.82,1.15,13.658,2.071,0.321,2.39,0
Elvin Hayes*,1,96,4160.0,5.6,6.2,11.7,4.4,19.066,0.501,0.022,0.347,22.81,0.135,9.224,20.762,15.22,7.059,1.279,2.993,12.215,2.398,0.327,2.725,0
Wes Unseld*,1,119,4889.0,5.6,7.1,12.7,4.4,15.008,0.524,0.021,0.376,18.292,0.125,8.962,21.616,16.842,12.628,1.198,1.229,14.141,2.563,0.929,3.466,1
Bob Dandridge*,1,98,3882.0,6.2,4.6,11.1,2.8,16.971,0.517,0.023,0.246,22.185,0.137,5.519,13.384,9.632,13.875,1.488,0.942,13.794,2.346,0.084,2.44,0
Connie Hawkins*,1,12,500.0,0.3,0.6,0.9,0.0,16.658,0.465,0.02,0.375,21.429,0.09,6.226,14.404,10.173,16.827,1.821,0.982,12.075,1.267,0.326,1.58,0
Kareem Abdul-Jabbar*,1,237,8851.0,21.8,13.6,35.8,12.9,23.013,0.57,0.009,0.326,24.707,0.193,8.072,17.782,14.316,13.182,1.381,3.244,12.685,3.878,0.91,4.782,1
Pete Maravich*,1,26,756.0,0.4,0.5,1.0,0.0,17.466,0.48,0.033,0.302,24.521,0.065,4.517,11.596,5.897,19.832,1.695,1.477,12.905,2.969,0.144,3.113,0
Dave Cowens*,1,89,3768.0,3.6,5.8,9.4,3.3,16.624,0.48,0.021,0.183,22.279,0.12,8.655,23.07,17.729,13.195,1.389,1.28,12.561,2.104,0.395,2.525,0
Jo Jo White*,1,80,3428.0,4.2,3.1,7.3,1.6,15.128,0.485,0.021,0.189,23.337,0.102,3.48,8.857,5.245,20.062,1.392,0.582,13.024,1.655,-0.486,1.168,1
Paul Westphal*,1,107,2449.0,3.4,1.7,5.5,1.9,16.444,0.522,0.049,0.251,22.805,0.105,1.905,5.208,3.377,22.784,1.766,0.513,13.03,1.957,-0.663,1.283,0
Bob Lanier*,1,67,2361.0,5.6,2.9,8.6,4.4,20.82,0.571,0.008,0.313,21.616,0.175,8.571,21.218,15.047,15.913,1.294,2.33,14.215,4.026,1.139,5.187,0
Bob McAdoo*,1,94,2714.0,2.7,3.4,6.2,1.8,18.546,0.532,0.016,0.309,24.188,0.11,7.363,20.246,13.95,6.893,1.231,2.915,13.501,0.936,-0.246,0.674,0
Calvin Murphy*,1,51,1660.0,3.2,0.1,3.5,1.1,17.064,0.527,0.032,0.215,23.463,0.101,1.999,3.272,2.613,20.153,2.337,0.143,11.968,0.843,-0.089,0.74,0
Jamaal Wilkes*,1,113,3799.0,3.7,3.4,7.1,1.7,14.545,0.494,0.012,0.206,22.112,0.091,7.137,12.868,9.951,9.095,1.684,0.762,11.999,0.909,-1.113,-0.216,0
